n,d,d/n,Matched Fraction
512,2,0.00390625,0.87109375
512,2,0.00390625,0.8828125
512,2,0.00390625,0.87109375
512,2,0.00390625,0.87109375
512,2,0.00390625,0.8671875
512,3,0.005859375,0.90234375
512,3,0.005859375,0.8828125
512,3,0.005859375,0.89453125
512,3,0.005859375,0.8984375
512,3,0.005859375,0.8984375
512,3,0.005859375,0.8828125
512,3,0.005859375,0.890625
512,3,0.005859375,0.890625
512,3,0.005859375,0.89453125
512,3,0.005859375,0.89453125
512,4,0.0078125,0.8984375
512,4,0.0078125,0.91015625
512,4,0.0078125,0.91015625
512,4,0.0078125,0.90234375
512,4,0.0078125,0.90625
512,4,0.0078125,0.90234375
512,4,0.0078125,0.90625
512,4,0.0078125,0.90625
512,4,0.0078125,0.91796875
512,4,0.0078125,0.8984375
512,5,0.009765625,0.921875
512,5,0.009765625,0.92578125
512,5,0.009765625,0.92578125
512,5,0.009765625,0.9140625
512,5,0.009765625,0.90625
512,5,0.009765625,0.90625
512,5,0.009765625,0.9296875
512,5,0.009765625,0.921875
512,5,0.009765625,0.9140625
512,5,0.009765625,0.91796875
512,6,0.01171875,0.91796875
512,6,0.01171875,0.9296875
512,6,0.01171875,0.90625
512,6,0.01171875,0.90625
512,6,0.01171875,0.91796875
512,6,0.01171875,0.91015625
512,6,0.01171875,0.91796875
512,6,0.01171875,0.93359375
512,6,0.01171875,0.90625
512,6,0.01171875,0.921875
512,22,0.04296875,0.97265625
512,22,0.04296875,0.9765625
512,22,0.04296875,0.9765625
512,22,0.04296875,0.96484375
512,22,0.04296875,0.97265625
512,22,0.04296875,0.98046875
512,22,0.04296875,0.9765625
512,22,0.04296875,0.9765625
512,22,0.04296875,0.98046875
512,22,0.04296875,0.98046875
512,51,0.099609375,0.98046875
512,51,0.099609375,0.98828125
512,51,0.099609375,0.9921875
512,51,0.099609375,0.9765625
512,51,0.099609375,0.98828125
512,51,0.099609375,0.99609375
512,51,0.099609375,0.99609375
512,51,0.099609375,0.98828125
512,51,0.099609375,0.984375
512,51,0.099609375,0.9921875
1024,2,0.001953125,0.89453125
1024,2,0.001953125,0.875
1024,2,0.001953125,0.8828125
1024,2,0.001953125,0.880859375
1024,2,0.001953125,0.87109375
1024,2,0.001953125,0.87109375
1024,2,0.001953125,0.892578125
1024,2,0.001953125,0.88671875
1024,2,0.001953125,0.869140625
1024,2,0.001953125,0.88671875
1024,3,0.0029296875,0.89453125
1024,3,0.0029296875,0.89453125
1024,3,0.0029296875,0.892578125
1024,3,0.0029296875,0.896484375
1024,3,0.0029296875,0.88671875
1024,3,0.0029296875,0.875
1024,3,0.0029296875,0.884765625
1024,3,0.0029296875,0.89453125
1024,3,0.0029296875,0.87890625
